"Dissemination ID","Original Dissemination ID","Primary Asset Class","Product ID","Action","Transaction Type","Block Trade Election Indicator","Cleared","Clearing Exception or Exemption Indicator","Day Count Convention","Effective Date","Embedded Option Type","Event Timestamp","Exchange Rate","Exchange Rate Basis","Execution Timestamp","Expiration Date","First Exercise Date","Fixed Rate 1","Fixed Rate 2","Fixed Recovery CDS Final Price","Floating Rate Reset Frequency Period 1","Floating Rate Reset Frequency Period 2","Floating Rate Reset Frequency Period Multiplier 1","Floating Rate Reset Frequency Period Multiplier 2","Leg 1 - Commodity Underlyer ID","Leg 2 - Commodity Underlyer ID","Leg 1 - Floating Rate Index","Leg 2 - Floating Rate Index","Non-Standardized Pricing Indicator","Notional Amount 1","Notional Amount 2","Notional Currency 1","Notional Currency 2","Notional Quantity 1","Notional Quantity 2","Total Notional Quantity 1","Total Notional Quantity 2","Option Entitlement","Option Premium Amount","Option Premium Currency","Other Payment Amount","Payment Frequency Period 1","Payment Frequency Period 2","Payment Frequency Period Multiplier 1","Payment Frequency Period Multiplier 2","Price 1","Price 2","Price Unit Of Measure 1","Price Unit Of Measure 2","Quantity Frequency","Quantity Unit Of Measure","Settlement Currency 1","Settlement Currency 2","Spread 1","Spread 2","Spread Currency 1","Spread Currency 2","Strike Price","Strike Price Currency","Underlying Asset ID","Underlying Asset ID Type","Underlying Asset Name","Leg 1 - Commodity Instrument ID","Leg 2 - Commodity Instrument ID","Option Type","Option Style","Execution Venue Type","Collateralization Type"
193045512,193045509,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-01T23:40:41","1.178","USD/EUR",2021-04-02 03:40:41,2021-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
193045513,193045509,"FX","ForeignExchange:VanillaOption","CORRECT","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-02T03:40:41","1.178","USD/EUR",2021-04-02 03:40:41,2021-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
193045510,193045507,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-01T23:40:39","1.178","USD/EUR",2021-04-02 03:40:39,2021-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
193045511,193045507,"FX","ForeignExchange:VanillaOption","CORRECT","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-02T03:40:39","1.178","USD/EUR",2021-04-02 03:40:39,2021-05-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
193045508,193045505,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-01T23:40:41","1.178","USD/EUR",2021-04-02 03:40:41,2021-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
193045509,193045505,"FX","ForeignExchange:VanillaOption","CORRECT","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-02T03:40:41","1.178","USD/EUR",2021-04-02 03:40:41,2021-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
193045506,193045503,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-01T23:40:39","1.178","USD/EUR",2021-04-02 03:40:39,2021-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
193045507,193045503,"FX","ForeignExchange:VanillaOption","CORRECT","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-02T03:40:39","1.178","USD/EUR",2021-04-02 03:40:39,2021-05-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
193045504,193038162,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-01T23:40:41","1.178","USD/EUR",2021-04-02 03:40:41,2021-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116921.43134,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
193045505,193038162,"FX","ForeignExchange:VanillaOption","CORRECT","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-02T03:40:41","1.178","USD/EUR",2021-04-02 03:40:41,2021-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116898.13209,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"C-","EU","OFF",NA
193045502,193038159,"FX","ForeignExchange:VanillaOption","CANCEL","Trade","Y","U",NA,NA,2021-04-02,NA,"2021-04-01T23:40:39","1.178","USD/EUR",2021-04-02 03:40:39,2021-04-07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"N",50084890,5.9e+07,"EUR","USD",NA,NA,NA,NA,NA,116921.43134,"EUR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"P-","EU","OFF",NA
